Name,Program,Description,Link,Lab Website,Email
"Holly Ingraham, PhD",Tetrad,Transcriptional regulators in energy balance,https://profiles.ucsf.edu/holly.ingraham,http://ingrahamlab.ucsf.edu/,
"Roshanak Irannejad, PhD",Tetrad,Organelle-based signaling in cardiovascular biology,https://profiles.ucsf.edu/roshanak.irannejad,http://irannejadlab.ucsf.edu/,
"Lily Jan, PhD",Tetrad,Ion channels,https://profiles.ucsf.edu/lily.jan,http://physio.ucsf.edu/jan/ResFxn.html,
"Yuh Nung Jan, PhD",Tetrad,Constructing the nervous system,https://profiles.ucsf.edu/yuhnung.jan,http://physio.ucsf.edu/jan/,
"Alexander-Sandy Johnson, PhD",Tetrad,Yeast Genetics and Genomics,https://profiles.ucsf.edu/sandy.johnson,http://johnsonlab.ucsf.edu/,
"Leanne Jones, PhD",Tetrad,,https://profiles.ucsf.edu/dana.jones,https://joneslabucsf.com,
"David Julius, PhD",Tetrad,Molecular biology,https://profiles.ucsf.edu/david.julius,http://physio.ucsf.edu/julius/,
"Natalia Jura, PhD",Tetrad,Structure Function Studies of Cellular Signaling,https://profiles.ucsf.edu/natalia.jura,http://www.cvri.ucsf.edu/~jura/,
"Martin Kampmann, PhD",Tetrad,The protein homeostasis network in normal and disease states of human cells,https://profiles.ucsf.edu/martin.kampmann,http://kampmannlab.ucsf.edu,
"Aimee Kao, MD, PhD",Tetrad,Lysosome biology and pH dynamics in aging and disease,https://profiles.ucsf.edu/aimee.kao,http://www.kaolab.org,
"Yuriy Kirichok, PhD",Tetrad,Electrical Signaling at the Mitochondrion in Health and Disease,https://profiles.ucsf.edu/yuriy.kirichok,http://keck.ucsf.edu/physio/kirichok/index.html,
"Tom Kornberg, PhD",Tetrad,Drosophila developmental genetics,https://profiles.ucsf.edu/tom.kornberg,http://www.cvri.ucsf.edu/~kornberg/Tom_Kornberg_Lab/Home.html,
"Tanja Kortemme, PhD",Tetrad," Computational protein design, how proteins function in complex contexts ",https://profiles.ucsf.edu/tanja.kortemme,http://kortemmelab.ucsf.edu/,
"Arnold Kriegstein, MD, PhD",Tetrad,Neocortical development,https://profiles.ucsf.edu/arnold.kriegstein,http://stemcell.ucsf.edu/about/faculty/kriegstein,
"Nevan Krogan, PhD",Tetrad,Systems Biology,https://profiles.ucsf.edu/nevan.krogan,http://kroganlab.ucsf.edu,
"Pui-Yan Kwok, MD, PhD",Tetrad,Analysis of Complex Genetic Traits,https://profiles.ucsf.edu/pui-yan.kwok,http://kwoklab.ucsf.edu/,
"Noelle L'etoile, PhD",Tetrad,Neuronal plasticity,https://profiles.ucsf.edu/noelle.letoile,http://letoilelab.org,
"Aparna Lakkaraju, PhD",Tetrad,Mechanisms that regulate the function of the retina in health and disease,https://profiles.ucsf.edu/aparna.lakkaraju,https://ophthalmology.ucsf.edu/lakkarajulab/,
"Hao Li, PhD",Tetrad,Computational Genomics,https://profiles.ucsf.edu/hao.li,http://mobydick.ucsf.edu/~haoli/,
"Joachim Li, MD, PhD",Tetrad,Regulation of Eukaryotic DNA Replication,https://profiles.ucsf.edu/joachim.li,http://www.ucsf.edu/lilab/Joachimindex.html,
"Wendell Lim, PhD",Tetrad,Cell signaling; systems and synthetic biology,https://profiles.ucsf.edu/wendell.lim,http://limlab.ucsf.edu/,
"Qili Liu, PhD",Tetrad,Cellular and Molecular basis of nutrient-specific appetite,https://profiles.ucsf.edu/qili.liu,https://qililiulab.science/,
"Averil Ma, MD",Tetrad,Ubiquitination and cell signaling,https://profiles.ucsf.edu/averil.ma,http://bms.ucsf.edu/directory/faculty/averil-ma-md-phd,
"Dengke Ma, PhD",Tetrad,Genetic analysis of biological homeostasis and extremophile,https://profiles.ucsf.edu/dengke.ma,http://malab.ucsf.edu,
"Hiten Madhani, MD, PhD",Tetrad,"Gene expression, genome defense, and pathogenesis",https://profiles.ucsf.edu/hiten.madhani,http://madhanilab.ucsf.edu,
"Aashish Manglik, MD, PhD",Tetrad,Structural biophysics of transmembrane signal transduction,https://profiles.ucsf.edu/aashish.manglik,http://www.mangliklab.com,
"Wallace Marshall, PhD",Tetrad,How Cells Count and Measure,https://profiles.ucsf.edu/wallace.marshall,http://marshalllab.ucsf.edu/,
"Frank Mccormick, PhD, FRS",Tetrad,Ras genes and human cancer,https://profiles.ucsf.edu/frank.mccormick,http://mccormicklab.ucsf.edu,
"Michael Mcmanus, PhD",Tetrad,RNAi and Noncoding RNAs,https://profiles.ucsf.edu/michael.mcmanus,http://mcmanuslab.ucsf.edu/,
"Daniel Minor, PhD",Tetrad,Ion channel structure and chemical biology,https://profiles.ucsf.edu/daniel.minor,http://www.cvri.ucsf.edu/~dminor,
"David Morgan, PhD",Tetrad,Protein Machines That Drive the Cell Cycle,https://profiles.ucsf.edu/david.o.morgan,https://morganlab.ucsf.edu/,
"Keith Mostov, MD, PhD",Tetrad,"Epithelial polarity, morphogenesis and regeneration",https://profiles.ucsf.edu/keith.mostov,http://mostovlab.ucsf.edu/,
"Shaeri Mukherjee, PhD",Tetrad,Host-pathogen interactions,https://profiles.ucsf.edu/shaeri.mukherjee,https://www.mukherjeelabucsf.com/,
"Dyche Mullins, PhD",Tetrad,Dynamics of Structure of the Cytoskeleton,https://profiles.ucsf.edu/dyche.mullins,http://mullinslab.ucsf.edu/,
"Maxence Nachury, PhD",Tetrad,Trafficking and signaling at the primary cilium,https://profiles.ucsf.edu/maxence.nachury,http://nachurylab.ucsf.edu,
"Geeta Narlikar, PhD",Tetrad,Mechanisms of Regulating Chromatin Structure and Function,https://profiles.ucsf.edu/geeta.narlikar,http://biochemistry.ucsf.edu/labs/narlikar/,
"Suzanne Noble, MD, PhD",Tetrad,The Biology of Candida albicans,https://profiles.ucsf.edu/suzanne.noble,http://noblelab.ucsf.edu/,
"Elphege Nora, PhD",Tetrad,,https://profiles.ucsf.edu/elphege-pierre.nora,https://noralab.ucsf.edu/index.php/the-team/,
"Tomasz Nowakowski, PhD",Tetrad,Development and function of the human brain ,https://profiles.ucsf.edu/tomasz.nowakowski,https://nowakowski-lab.squarespace.com/about-1,
"Todd Nystul, PhD",Tetrad,Epithelial stem cells and cancer,https://profiles.ucsf.edu/todd.nystul,http://nystullab.ucsf.edu/,
"Patrick O'farrell, PhD",Tetrad,Cell cycle control in development,https://profiles.ucsf.edu/patrick.ofarrell,http://biochemistry.ucsf.edu/labs/ofarrell/,
"Barbara Panning, PhD",Tetrad,Stem Cell Epigenetics,https://profiles.ucsf.edu/barbara.panning,,
"Rushika Perera, PhD",Tetrad,Reprogramming of cellular metabolic networks in cancer,https://profiles.ucsf.edu/rushika.perera,http://www.rushikapereralab.com,
"Sam Pleasure, MD, PhD",Tetrad,Regulation of cortical development and function in health and disease,https://profiles.ucsf.edu/sam.pleasure,https://pleasurelab.ucsf.edu,
"Louis Ptacek, MD",Tetrad,Human Neurogenetics,https://profiles.ucsf.edu/louis.ptacek,http://www.ucsf.edu/humgene/,
"David Raleigh, PhD, MD",Tetrad,"Developmental biology, lipid signaling and brain tumors",https://profiles.ucsf.edu/david.raleigh,http://raleighlab.ucsf.edu,
"Jeremy Reiter, MD, PhD",Tetrad,Intercellular communication in development and disease,https://profiles.ucsf.edu/jeremy.reiter,http://biochemistry.ucsf.edu/labs/reiter/,
"John Rubenstein, MD, PhD",Tetrad,Forebrain Development,https://profiles.ucsf.edu/john.rubenstein,http://physio.ucsf.edu/rubenstein/,
"Davide Ruggero, PhD",Tetrad,How translational control shapes the proteome in normal and cancer cells,https://profiles.ucsf.edu/davide.ruggero,http://ruggerolab.ucsf.edu,
"Bjoern Schwer, MD, PhD",Tetrad,DNA repair and genome stability,https://profiles.ucsf.edu/bjoern.schwer,https://schwerlab.ucsf.edu,
"Yin Shen, PhD",Tetrad,Functional genomics and gene regulation,https://profiles.ucsf.edu/yin.shen,http://shenlab.ucsf.edu,
"Dean Sheppard, MD",Tetrad,In vivo functions of integrins,https://profiles.ucsf.edu/dean.sheppard,http://pulmonary.ucsf.edu/faculty/sheppard.html,
"Kevan Shokat, PhD",Tetrad,Development of Novel Tools to Study Signal Transduction,https://profiles.ucsf.edu/kevan.shokat,http://shokatlab.ucsf.edu/,
"Anita Sil, MD, PhD",Tetrad,Fungal Pathogenesis,https://profiles.ucsf.edu/anita.sil,http://histo.ucsf.edu/sillab/index.htm,
"Daniel Southworth, PhD",Tetrad,Structure/function of heat shock proteins and protein quality control,https://profiles.ucsf.edu/daniel.southworth,https://ind.ucsf.edu/ind/aboutus/faculty/southworthd,
"Deepak Srivastava, MD",Tetrad,Molecular Mechanisms of Cardiogenesis,https://profiles.ucsf.edu/deepak.srivastava,http://gladstoneinstitutes.org/u/dsrivastava/SrivastavaLab.htm,
"Robert Stroud, MA, PhD",Tetrad,Cellular Signaling and Molecular Mechanisms,https://profiles.ucsf.edu/robert.stroud,http://www.msg.ucsf.edu/stroud/index.htm,
"Jack Taunton, PhD",Tetrad,Actin/Membrane Dynamics and Chemical Proteomics,https://profiles.ucsf.edu/jack.taunton,http://cmp.ucsf.edu/faculty/pdb_show.html?id=taunton,
"Thea Tlsty, PhD",Tetrad,"Communal-cell interactions in cancer, genetics, epigenetics ",https://profiles.ucsf.edu/thea.tlsty,https://tlstylab.ucsf.edu/,
"David Toczyski, PhD",Tetrad,The DNA damage response and ubiquitin-mediated proteolysis,https://profiles.ucsf.edu/david.toczyski,http://toczyskilab.ucsf.edu,
"Peter Turnbaugh, PhD",Tetrad,Impact of the human gut microbiome on pharmacology,https://profiles.ucsf.edu/peter.turnbaugh,http://turnbaughlab.ucsf.edu,
"Mark Von Zastrow, MD, PhD",Tetrad,Linking Cell Signaling and Membrane Traffic,https://profiles.ucsf.edu/mark.vonzastrow,http://www.vzlab.org,
"Peter Walter, PhD",Tetrad,Mechanisms of Organelle Homeostasis,https://profiles.ucsf.edu/peter.walter,http://walterlab.ucsf.edu,
"Leor Weinberger, PhD",Tetrad,How viruses (and cells) make decisions,https://profiles.ucsf.edu/leor.weinberger,http://weinbergerlab.ucsf.edu,
"Orion Weiner, PhD",Tetrad,Cell polarity and migration,https://profiles.ucsf.edu/orion.weiner,http://www.cvri.ucsf.edu/~weiner/,
"Arthur Weiss, MD, PhD",Tetrad,Lymphocyte Signaling and Activation,https://profiles.ucsf.edu/arthur.weiss,http://cancer.ucsf.edu/people/weiss_arthur.php,
"Jim Wells, PhD",Tetrad,Apoptosis and Differentiation,https://profiles.ucsf.edu/james.wells,http://wellslab.ucsf.edu,
"Allison Williams, PhD",Tetrad,Molecular details of signal transduction ,https://profiles.ucsf.edu/allison.williams,http://cmp.ucsf.edu/faculty/allison-williams,
"Jeremy Willsey, PhD",Tetrad,Genetic and Systems Biological Approaches to Understanding Neurodevelopmental Disorders,https://profiles.ucsf.edu/jeremy.willsey,http://WillseyLab.ucsf.edu,
"Torsten Wittmann, PhD",Tetrad,Cytoskeleton dynamics and microscopy,https://profiles.ucsf.edu/torsten.wittmann,http://wittmann.ucsf.edu/,
"Lani Wu, PhD",Tetrad,Systems biology and pharmacology,https://profiles.ucsf.edu/lani.f.wu,http://www.altschulerwulab.org/,
"Balyn Zaro, PhD",Tetrad,Proteomic and chemical biology investigations of innate immunity and hematopoiesis ,https://profiles.ucsf.edu/balyn.zaro,https://pharm.ucsf.edu/zaro,
